date,sales,volume,final,clear,ssn,time,model_year,model,make
6/10/2017,17646,26829,20627,34237,511-49-2058,6:57 PM,2011,Sierra 1500,GMC
4/10/2017,15344,14788,26671,18172,235-13-5401,1:35 AM,1998,NSX,Acura
4/11/2017,16461,29629,27739,34554,786-76-1408,1:06 AM,2008,Discovery,Land Rover
2/9/2017,14136,14951,20108,21403,106-85-0114,6:26 AM,1992,Daytona,Dodge
10/29/2016,16827,13370,21162,18217,799-28-5233,3:38 AM,2002,V40,Volvo
2/6/2017,13567,15246,22812,18260,628-49-7083,2:42 PM,1999,DeVille,Cadillac
5/29/2017,17602,27222,29698,32090,239-96-8386,10:33 PM,1994,LeBaron,Chrysler
12/11/2016,18058,11919,29592,39454,522-12-4298,4:06 PM,2000,Econoline E250,Ford
3/31/2017,12901,19692,25708,22827,218-25-1961,2:01 AM,1993,Spider,Alfa Romeo
1/19/2017,17704,12438,21983,36212,393-67-1617,11:31 AM,2010,M,Infiniti
4/14/2017,11893,22030,20546,11838,163-32-9184,4:28 PM,1992,Mirage,Mitsubishi
3/1/2017,10651,25539,22249,10038,567-27-5955,2:29 PM,1990,MX-6,Mazda
1/9/2017,10822,18015,27465,36849,487-22-2120,11:31 AM,2005,XK Series,Jaguar
9/21/2017,14049,15921,27580,26199,578-33-5545,8:07 PM,1997,GTI,Volkswagen
11/30/2016,16617,13610,22295,23176,589-21-1078,1:59 AM,2010,SC,Lexus
12/20/2016,16908,28301,25829,36716,435-68-9250,12:23 PM,2002,Pajero,Mitsubishi
9/29/2017,16221,14203,29192,37933,426-03-3937,12:16 PM,1996,Legacy,Subaru
1/1/2017,12540,13352,27428,34608,416-95-8222,11:39 AM,1992,911,Porsche
9/17/2017,17911,28636,24887,31667,539-21-9603,3:59 AM,1998,Tahoe,Chevrolet
10/14/2016,14112,13424,28517,18825,507-02-7061,2:51 AM,2006,Cayenne,Porsche
9/2/2017,16132,12588,26086,31249,491-81-6908,9:47 AM,2012,Cooper Clubman,MINI
4/1/2017,16527,26871,20980,26402,703-63-1897,11:25 PM,1999,2500,Chevrolet
11/10/2016,11173,22673,25853,21164,884-65-7077,10:55 AM,1992,M5,BMW
5/14/2017,19361,24910,25772,14789,527-58-6302,10:23 AM,1994,Ram Wagon B150,Dodge
11/26/2016,13713,20645,22637,36552,207-24-5302,12:03 PM,1993,Caprice Classic,Chevrolet
11/19/2016,15367,23476,20660,23668,658-46-2151,12:52 PM,2009,Explorer,Ford
7/4/2017,18188,10186,22265,35878,458-49-9707,1:06 AM,1999,Esprit,Lotus
1/1/2017,19405,13815,27506,31230,850-39-3977,9:58 PM,2010,F-Series Super Duty,Ford
8/7/2017,13052,10813,21386,21153,275-54-4541,10:49 AM,2003,Pathfinder,Nissan
11/29/2016,11294,23486,26862,31689,364-88-9170,8:54 AM,2007,Avalon,Toyota
2/7/2017,10522,20329,26595,18858,486-64-7627,5:23 AM,1996,Ram 3500,Dodge
3/10/2017,12191,23805,24075,17037,483-03-4811,2:40 PM,1971,Camaro,Chevrolet
11/6/2016,17620,22491,27785,38690,500-69-6181,5:52 PM,2001,Cherokee,Jeep
10/4/2016,10224,26793,28506,21800,116-55-2834,4:51 PM,2001,Corolla,Toyota
9/19/2017,18361,11370,23456,20959,257-06-2458,2:49 PM,2008,Colorado,Chevrolet
5/21/2017,15137,19806,24154,39973,801-74-8374,6:19 AM,2002,X-Type,Jaguar
6/15/2017,19978,13352,21093,10975,262-43-1151,3:40 PM,2004,Silverado 2500,Chevrolet
7/27/2017,10420,18986,28986,30191,844-98-6981,7:34 PM,2009,Aveo,Chevrolet
1/24/2017,11227,11483,24053,38733,807-57-3289,2:51 AM,2012,iQ,Scion
10/12/2016,13108,23969,23927,16433,621-94-3536,7:44 PM,1988,Turbo Firefly,Pontiac
7/6/2017,10371,21210,25508,19425,587-79-9417,10:39 PM,2005,RSX,Acura
6/18/2017,15380,22954,26879,11865,320-38-0613,11:09 AM,2003,XL-7,Suzuki
12/2/2016,14739,22748,23987,31861,416-53-6976,12:08 AM,1993,LeBaron,Chrysler
1/11/2017,15016,18727,25462,26897,684-46-5626,5:24 AM,2013,Elantra,Hyundai
8/25/2017,15883,22317,21338,39397,327-67-7546,5:15 PM,2005,E-Class,Mercedes-Benz
10/26/2016,10313,13628,21117,18865,116-80-8700,7:25 PM,2012,GranTurismo,Maserati
11/30/2016,11905,23977,22577,34492,452-28-7489,5:51 AM,1991,Swift,Suzuki
12/10/2016,14402,10707,29730,24430,803-02-5972,3:11 AM,1996,Riviera,Buick
8/9/2017,19147,10269,23346,33179,570-94-3586,11:32 PM,1993,Lumina APV,Chevrolet
6/14/2017,17656,11361,26904,26137,308-31-6039,8:08 PM,1985,Grand Am,Pontiac
1/1/2017,17776,16374,21815,21280,673-31-9047,8:09 AM,2004,Sierra 2500,GMC
5/29/2017,13503,28433,25253,25919,532-38-0298,9:25 AM,2006,A4,Audi
10/19/2016,17652,12152,24431,10766,750-34-0022,2:20 PM,1998,Discovery,Land Rover
7/20/2017,12187,17225,20270,23169,401-04-7228,4:33 PM,1987,Continental,Lincoln
1/28/2017,15590,17154,22478,12823,318-83-1100,11:55 PM,2007,VUE,Saturn
1/6/2017,19664,11602,27499,14445,382-15-2759,7:36 PM,1995,Sonata,Hyundai
2/20/2017,19056,12796,25947,23311,524-88-0844,5:18 PM,2006,G6,Pontiac
3/26/2017,15609,23518,20560,19560,592-77-1919,9:23 PM,2005,Solara,Toyota
7/8/2017,13081,26615,21155,32759,786-55-6324,4:41 PM,1998,Protege,Mazda
11/2/2016,14498,10967,26559,16956,252-67-3750,7:31 PM,2010,Continental GTC,Bentley
12/20/2016,19989,14539,20716,22889,872-04-8838,3:56 AM,2003,Savana 2500,GMC
8/13/2017,13587,10927,29734,24207,672-34-7664,9:06 AM,1999,SLK-Class,Mercedes-Benz
12/24/2016,11719,21168,27265,26414,720-96-4902,1:05 PM,2011,Matrix,Toyota
12/10/2016,11529,12318,26706,11031,174-40-6097,6:36 PM,1999,Sierra 2500,GMC
8/30/2017,17371,23662,29259,31513,329-23-6603,7:49 PM,1988,6000,Pontiac
7/7/2017,16873,26472,22111,10766,564-46-2855,2:11 PM,1996,Aerostar,Ford
2/1/2017,18881,13111,29075,28438,892-63-2318,8:40 AM,2013,CC,Volkswagen
2/1/2017,17753,25287,25331,37166,843-11-6200,5:28 PM,2006,Tiburon,Hyundai
10/3/2016,10495,17341,20339,35939,596-61-4612,5:14 AM,1998,Express 1500,Chevrolet
11/29/2016,11395,19891,22659,15800,274-66-6281,9:18 PM,1996,Monte Carlo,Chevrolet
10/20/2016,18434,24155,21302,17886,406-04-3686,2:27 AM,2011,Navigator,Lincoln
3/19/2017,11079,28416,25195,20236,380-69-1886,4:46 AM,2002,745,BMW
10/29/2016,14644,18309,21428,27068,336-20-5571,7:46 AM,2005,Land Cruiser,Toyota
6/17/2017,17891,14531,27591,30397,891-52-7452,6:38 PM,2005,A6,Audi
9/17/2017,10393,19024,28143,10494,748-84-9240,3:07 PM,2007,Legacy,Subaru
4/19/2017,17109,22833,27824,22271,425-20-1154,1:02 AM,2003,Civic,Honda
8/7/2017,19808,11711,22751,23563,152-35-4102,6:55 AM,2008,Sienna,Toyota
12/24/2016,16554,12201,25058,35023,159-81-8616,8:17 AM,2002,Envoy XL,GMC
1/15/2017,14886,21275,22326,22604,193-23-0213,9:13 PM,2012,TSX,Acura
11/18/2016,14694,25980,25068,10257,395-97-7823,2:09 PM,1989,LS,Lexus
2/3/2017,12567,29745,26760,27311,517-58-1851,9:33 PM,2001,Park Avenue,Buick
8/21/2017,18489,23993,28257,30429,868-73-0887,6:13 AM,1994,1500,GMC
12/19/2016,17347,22310,25533,27906,437-97-0879,7:45 AM,1995,G-Series G10,Chevrolet
7/14/2017,10489,21795,21774,14877,206-15-3393,5:22 PM,1992,Rally Wagon 2500,GMC
10/28/2016,13802,23220,24723,14747,264-67-2628,2:35 AM,2012,Navigator L,Lincoln
1/16/2017,17194,26669,25581,21711,271-05-3471,2:42 PM,1996,B-Series Plus,Mazda
11/9/2016,14586,14627,26622,24720,292-62-4219,10:17 PM,1987,Firefly,Pontiac
7/8/2017,14854,29354,26401,38792,522-34-7973,1:47 AM,2001,Eldorado,Cadillac
10/10/2016,16024,21566,25767,39819,270-79-9054,5:21 PM,1993,Dynasty,Dodge
4/14/2017,18321,19548,21782,39195,461-05-3495,10:59 AM,2012,F350,Ford
7/3/2017,11192,17446,22837,37107,380-98-0186,11:07 AM,1993,D250 Club,Dodge
2/5/2017,18906,16145,26970,24590,765-54-4138,12:10 AM,1992,Cavalier,Chevrolet
2/22/2017,14090,25164,26595,17449,188-58-9628,12:03 PM,2004,350Z,Nissan
9/19/2017,10172,20700,27033,10861,684-78-0430,10:54 PM,2006,Aerio,Suzuki
3/30/2017,17674,10192,27626,11569,144-14-4039,4:45 PM,2011,Grand Marquis,Mercury
11/22/2016,14742,20557,29953,11586,590-40-7014,6:44 PM,1993,Passat,Volkswagen
2/15/2017,18613,23701,24720,21479,555-08-3895,5:15 AM,1998,626,Mazda
1/16/2017,10382,18219,26101,24853,605-60-2079,8:27 PM,2008,C70,Volvo
3/18/2017,19423,14687,28585,21852,736-43-6406,2:14 PM,2007,Rabbit,Volkswagen
3/3/2017,13227,23097,20754,23252,825-51-2560,6:26 PM,1964,Mini Cooper,Austin
6/27/2017,17102,25726,29186,32607,817-40-3998,8:13 AM,2004,Highlander,Toyota
3/11/2017,18967,10603,23410,19058,218-86-3888,10:36 AM,1999,XJ Series,Jaguar
12/2/2016,13105,12618,21136,13722,859-93-6295,12:26 PM,1998,Accent,Hyundai
7/14/2017,11283,27482,25431,21949,878-85-9013,6:16 PM,2004,B-Series,Mazda
9/11/2017,14441,20433,22499,22536,278-19-9767,5:36 PM,2004,Tacoma Xtra,Toyota
6/23/2017,19194,29394,24378,33253,817-02-6964,8:43 PM,2012,RL,Acura
11/1/2016,14076,18226,20499,11701,153-07-4146,12:01 AM,1996,G-Series G30,Chevrolet
9/19/2017,10568,11800,24347,12927,881-45-3474,2:52 AM,2009,S4,Audi
3/13/2017,10687,15758,21957,16696,815-72-7602,7:47 AM,2011,Equinox,Chevrolet
4/3/2017,17104,23973,24490,38310,215-37-7988,4:48 PM,2010,Roadster,Tesla
1/22/2017,19091,29055,22279,16718,754-19-2121,8:58 AM,1999,S-Series,Saturn
12/10/2016,19981,29376,22818,34284,200-03-7393,9:29 PM,1986,Continental,Lincoln
9/29/2017,13017,12144,25862,25952,189-85-9631,12:56 PM,1990,Fox,Volkswagen
1/13/2017,15325,17553,24346,23347,427-81-8254,11:35 AM,1987,Scirocco,Volkswagen
3/9/2017,11235,17380,26369,22061,672-51-2972,8:27 PM,1996,Cavalier,Chevrolet
7/31/2017,17703,18825,28051,25369,761-88-3018,1:17 AM,1991,Mustang,Ford
8/18/2017,12355,12860,27725,32580,696-18-3623,9:43 AM,2005,Sequoia,Toyota
3/26/2017,11336,12697,21801,37979,315-10-0092,3:55 AM,2004,Marauder,Mercury
4/5/2017,11006,11588,23280,22427,843-84-8360,3:57 AM,2004,Escalade ESV,Cadillac
8/14/2017,11267,25697,20614,25877,824-42-8924,3:58 PM,1991,90,Audi
7/28/2017,10227,29977,27120,32808,884-34-9361,1:00 PM,2012,Touareg,Volkswagen
12/30/2016,17465,10817,21881,23424,741-98-6789,8:56 AM,1994,Impreza,Subaru
10/6/2016,16141,22238,22383,18024,504-77-0125,3:02 PM,2001,Express 2500,Chevrolet
6/6/2017,13944,28633,20998,31399,256-28-0660,3:04 AM,1993,Crown Victoria,Ford
11/18/2016,16340,19592,25134,34240,169-56-1207,12:08 PM,1999,Econoline E150,Ford
3/9/2017,11337,26058,26853,34868,306-74-5719,1:22 AM,2010,Armada,Nissan
3/6/2017,15370,21121,21241,17460,247-28-6476,10:29 PM,2011,RDX,Acura
9/11/2017,17178,17571,24975,25541,182-92-4148,7:37 AM,1986,F-Series,Ford
5/15/2017,12695,15065,29207,16996,810-57-2287,8:45 AM,2008,MX-5,Mazda
4/16/2017,13989,17282,29785,35947,416-05-5120,12:13 PM,2006,Sorento,Kia
7/27/2017,11512,21686,27204,35092,771-89-0908,6:26 PM,2002,Lanos,Daewoo
2/4/2017,15356,19965,25060,29577,459-86-2051,1:23 AM,2003,Santa Fe,Hyundai
12/6/2016,17007,19018,22009,27903,580-10-6983,7:54 PM,1989,Ranger,Ford
2/6/2017,15840,22001,24015,35156,507-09-6558,2:11 AM,1994,1500 Club Coupe,GMC
11/14/2016,19211,20338,23447,31388,212-83-9801,4:48 PM,2007,Camry,Toyota
11/22/2016,14910,18409,25736,33035,516-97-2587,9:37 PM,1992,Club Wagon,Ford
8/16/2017,11207,16202,22125,34327,308-99-0291,9:19 PM,2005,Z4,BMW
7/11/2017,15003,20247,24776,13990,570-50-7555,8:58 PM,2011,Navigator,Lincoln
3/8/2017,16028,23165,28790,38857,313-20-4801,5:05 PM,1993,Pathfinder,Nissan
8/24/2017,11499,29791,22714,30916,624-33-1360,11:07 PM,2004,Passat,Volkswagen
10/7/2016,18870,22266,22189,26071,446-83-2118,6:13 AM,2012,A8,Audi
5/23/2017,11928,21911,23804,28854,363-43-5587,5:57 PM,1994,Tercel,Toyota
12/29/2016,17573,14976,22896,39925,347-06-6876,3:09 AM,1997,Express 3500,Chevrolet
2/4/2017,13383,15489,27627,17556,737-94-4710,2:50 PM,1986,SJ,Suzuki
7/26/2017,17767,22277,23849,14280,281-02-5695,4:24 PM,1993,B-Series,Mazda
1/11/2017,10527,16706,29601,16873,409-56-1710,2:12 AM,1999,Ram 1500,Dodge
5/18/2017,13165,10000,28456,16429,504-50-1983,12:44 PM,1996,300ZX,Nissan
10/30/2016,16192,16367,20300,39162,450-22-9796,7:48 PM,2005,Armada,Nissan
2/23/2017,13709,29296,23384,24165,835-31-0057,2:32 AM,1996,Jimmy,GMC
3/28/2017,16991,10862,20020,27095,506-04-7510,6:51 PM,1967,Tempest,Pontiac
9/28/2017,17286,10569,26629,19384,896-61-9265,5:36 PM,2008,Spectra,Kia
4/21/2017,17083,23108,26502,14575,271-50-2964,9:42 PM,2005,Golf,Volkswagen
3/12/2017,15915,26284,24151,18321,263-20-2976,6:44 PM,2002,New Beetle,Volkswagen
1/25/2017,16321,15188,21251,12204,167-33-9332,12:30 PM,2011,Azera,Hyundai
5/18/2017,10831,10366,23841,16846,557-51-7313,10:06 PM,2010,Avalon,Toyota
1/4/2017,11170,17031,25224,22473,394-15-6721,2:26 PM,2003,S2000,Honda
9/4/2017,15045,26074,26594,12764,894-84-0513,1:50 PM,1993,Space,Isuzu
2/18/2017,16444,29260,23590,23880,835-20-1106,6:29 AM,1993,850,Volvo
2/20/2017,18972,29415,20172,35429,451-34-4756,8:42 AM,2005,Dakota,Dodge
8/30/2017,14316,12618,20767,12283,658-66-3230,3:08 AM,2009,tC,Scion
10/3/2017,12302,12598,20952,35651,638-68-8455,6:04 AM,2011,Lancer,Mitsubishi
8/16/2017,14700,27888,27345,36648,224-41-5208,1:51 AM,2002,PT Cruiser,Chrysler
8/16/2017,12853,25870,21707,35134,485-68-4702,7:03 PM,1990,Reatta,Buick
8/9/2017,19898,12891,24035,22520,330-03-5283,12:59 AM,2009,Z4,BMW
10/8/2016,12146,28619,24679,13383,659-50-9341,7:01 PM,2013,Sonata,Hyundai
7/21/2017,13685,24959,20460,27017,364-96-0903,11:12 PM,2001,G,Infiniti
5/1/2017,12914,14985,29820,13134,261-30-6366,8:15 PM,2012,GLK-Class,Mercedes-Benz
7/4/2017,19057,28461,26546,33453,293-43-1813,2:08 AM,2006,Ram 1500,Dodge
7/31/2017,14815,27037,21087,27618,820-11-8402,3:13 AM,1984,Topaz,Mercury
7/2/2017,11721,23565,25341,25500,394-42-3630,2:21 PM,1989,Estate,Buick
5/8/2017,12974,22122,20265,13724,389-47-6550,12:56 AM,1993,Trans Sport,Pontiac
5/1/2017,12900,13694,23137,20369,264-52-5402,7:48 PM,2002,Lanos,Daewoo
4/17/2017,11037,28534,23691,28351,684-55-4082,1:14 PM,2006,C-Class,Mercedes-Benz
8/29/2017,16020,11760,24190,35668,722-52-8132,9:53 PM,2006,Durango,Dodge
2/15/2017,13993,27624,23366,20939,323-73-2181,2:01 AM,2011,Prius,Toyota
9/6/2017,16924,28399,29464,26681,505-59-1063,6:45 PM,2002,Optima,Kia
10/30/2016,12670,15072,22720,12346,375-21-5973,1:28 AM,2008,XJ,Jaguar
9/24/2017,15258,12480,23011,22177,116-44-7225,10:09 AM,2005,57S,Maybach
5/17/2017,14310,24705,20483,29237,869-02-4383,5:16 PM,2000,Cabriolet,Volkswagen
10/30/2016,16733,29722,25290,27153,751-72-0403,7:17 AM,1985,Golf,Volkswagen
1/26/2017,10255,25908,22865,33850,213-79-3458,7:14 AM,1992,Stanza,Nissan
3/22/2017,11602,16745,27453,13937,643-42-9334,12:01 AM,2009,Acadia,GMC
1/13/2017,10548,27702,26047,31784,530-54-1443,2:52 AM,1979,280ZX,Nissan
2/1/2017,11931,29722,28465,15807,163-52-6538,10:14 PM,2008,Lancer Evolution,Mitsubishi
1/22/2017,18560,14552,20747,39605,264-58-1394,8:32 AM,2012,Fit,Honda
6/24/2017,13263,18073,25873,32503,255-76-9233,7:23 PM,1993,Crown Victoria,Ford
10/31/2016,16000,12300,21591,35134,624-76-6514,1:23 PM,2004,Savana 2500,GMC
8/13/2017,10012,25300,27014,14539,800-25-9566,5:28 PM,1998,Integra,Acura
10/6/2016,17325,17531,24615,39777,369-62-6741,2:19 PM,2012,GLK-Class,Mercedes-Benz
2/27/2017,16028,18725,28185,35723,418-81-9365,1:23 AM,1984,Esprit Turbo,Lotus
1/22/2017,11671,10377,22195,38705,178-54-3493,5:37 PM,2011,9-5,Saab
9/22/2017,17911,27299,27715,27793,351-21-3658,3:18 AM,2000,XJ Series,Jaguar
6/3/2017,13624,19856,25843,39179,831-73-7044,2:18 PM,1994,Yukon,GMC
7/3/2017,13889,23480,24767,16438,356-29-9626,9:34 AM,2011,RDX,Acura
5/15/2017,10263,14906,23736,14655,131-77-8372,2:35 AM,2009,Mountaineer,Mercury
11/20/2016,17331,29117,29236,31524,766-01-8205,9:57 PM,1995,T100 Xtra,Toyota
1/9/2017,16574,16497,26979,22584,255-95-4198,1:11 AM,1998,Cavalier,Chevrolet
8/18/2017,10786,14934,22912,31374,539-21-6590,12:23 PM,2008,SL-Class,Mercedes-Benz
3/1/2017,10809,21447,24219,30739,404-15-2500,9:56 PM,2011,Pilot,Honda
5/21/2017,17787,22257,21203,30548,795-11-5515,9:07 AM,2001,Silhouette,Oldsmobile
9/21/2017,18268,28416,20733,12672,242-61-2681,4:40 PM,1994,Cutlass Cruiser,Oldsmobile
9/30/2017,14406,21836,22174,23417,629-78-3281,9:09 AM,2008,Z4,BMW
7/14/2017,14139,26725,28313,29066,236-15-3327,12:51 PM,1990,Datsun/Nissan Z-car,Nissan
12/13/2016,18740,16824,26472,18380,222-62-6108,6:42 AM,1995,Celica,Toyota
6/16/2017,19162,20694,20919,38854,320-18-6030,5:20 PM,2003,Aerio,Suzuki
1/19/2017,17211,12557,24418,29939,383-03-2839,2:10 AM,1999,Galant,Mitsubishi
6/8/2017,17923,25984,26259,35695,159-45-1093,8:05 PM,2002,Seville,Cadillac
1/24/2017,14707,19655,22029,31342,544-78-0895,11:05 AM,1995,Aurora,Oldsmobile
4/1/2017,18778,13516,28619,22669,197-66-2271,3:55 AM,1986,EXP,Ford
9/20/2017,16302,16180,27485,30346,433-99-0819,6:01 AM,1992,3500,Chevrolet
5/30/2017,18879,11145,20597,30899,817-86-9836,12:29 PM,2010,Colorado,Chevrolet
1/11/2017,19601,11828,23379,18872,657-28-6555,7:02 AM,2008,C-Class,Mercedes-Benz
6/20/2017,14923,20600,27953,17114,815-98-2312,4:28 PM,1995,K5 Blazer,Chevrolet
8/24/2017,17162,17879,25084,16923,542-52-7651,12:22 AM,2002,9-3,Saab
3/13/2017,14049,26194,20100,27856,284-91-4304,10:42 PM,2007,Jetta,Volkswagen
1/14/2017,15382,11825,20019,25399,832-22-5450,3:52 AM,2008,SLK-Class,Mercedes-Benz
12/29/2016,12261,17822,20680,17873,494-78-7930,11:39 AM,2012,Matrix,Toyota
1/5/2017,19608,18702,27548,18505,870-81-2582,2:53 PM,2008,Lancer Evolution,Mitsubishi
12/1/2016,11406,24145,23792,24618,336-03-1458,7:02 PM,2005,Colorado,Chevrolet
4/18/2017,11957,22488,23085,31492,181-01-3199,4:45 AM,2006,Jetta,Volkswagen
10/28/2016,17736,15818,27541,16740,153-20-3997,2:10 PM,2010,A4,Audi
7/30/2017,19387,16224,25440,10989,360-89-6115,7:18 AM,1984,Brat,Subaru
1/26/2017,18302,27008,28013,38705,668-38-3567,2:57 AM,1997,Accent,Hyundai
1/15/2017,14008,23326,28282,38532,113-89-1171,9:19 AM,1993,M5,BMW
10/29/2016,15179,29632,25614,32487,169-62-6828,8:06 PM,2012,MX-5,Mazda
5/6/2017,18139,22006,27479,24843,182-07-1695,11:12 AM,2012,Acadia,GMC
11/19/2016,12858,25123,21973,25547,885-44-8505,2:15 PM,2002,Passat,Volkswagen
9/7/2017,19095,26811,20501,37602,898-44-2428,5:57 AM,1993,Colt Vista,Plymouth
9/8/2017,12250,15125,26170,37588,550-01-5826,9:40 PM,2012,CX-9,Mazda
4/20/2017,15749,22625,26429,18783,234-72-5151,9:53 AM,1991,Fox,Volkswagen
10/5/2016,15363,19206,20799,19420,220-92-1382,6:00 AM,2002,M3,BMW
6/30/2017,10161,27864,24472,39306,779-90-0776,12:02 AM,2010,Grand Marquis,Mercury
11/9/2016,15574,24798,29329,14468,734-14-6745,10:27 AM,2002,Outback Sport,Subaru
7/13/2017,16091,24411,24904,35960,261-92-1753,8:51 AM,2011,DBS,Aston Martin
11/22/2016,13620,13107,28762,15270,646-61-1263,3:37 PM,2001,Ram 1500 Club,Dodge
11/12/2016,17435,23942,29330,15579,807-67-6202,12:12 AM,2006,525,BMW
11/21/2016,11353,28585,26919,35548,840-20-8178,4:19 AM,2012,Camaro,Chevrolet
9/29/2017,13723,12168,20621,23640,329-92-0752,1:23 PM,1993,Previa,Toyota
10/28/2016,13829,27189,24036,14650,323-71-7741,3:51 AM,2008,M3,BMW
9/13/2017,13587,22049,25937,23337,259-59-5645,11:54 PM,2011,SRX,Cadillac
4/1/2017,19188,17263,28769,37999,363-83-5713,8:02 AM,2001,Diamante,Mitsubishi
1/17/2017,18486,25512,29879,21244,898-64-5657,6:25 AM,1995,300ZX,Nissan
